,sid,scode,click,unclick,buy,sell,first_exposed_time,last_interaction_time,p_berr,price,change,changepct,volume,color,name,exp_type,user_id,exp_seq
160,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,2,2
161,115,BA,0,0,0,0,-1,-1,-1.0,205.06,-2.5,-1.2,6040048,#3485FF,Boeing Co,Base,2,2
162,0,AAPL,0,0,0,0,0,-1,0.6931608875388249,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,2,3
163,1,MSFT,0,0,0,0,0,-1,0.6513637497024177,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,2,3
164,2,GOOG,0,0,0,0,0,-1,0.6285700428462339,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,2,3
165,3,AMZN,0,0,0,0,0,-1,0.5283641979904723,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,2,3
166,4,LCID,0,0,0,0,0,-1,0.495928679155404,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,2,3
167,5,NVDA,0,0,0,0,0,-1,0.4270460891011311,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,2,3
168,6,XOM,0,0,0,0,0,-1,0.404133294818758,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,2,3
169,7,JPM,0,0,0,0,0,-1,0.3487980701968637,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,2,3
170,8,V,0,0,0,0,0,-1,0.33469190396753723,213.4,2.01,0.95,8882718,#E24A4A,Visa Inc,Base,2,3
171,9,HD,0,0,0,0,0,-1,0.3142672745105686,415.4,4.06,0.99,2625183,#E24A4A,Home Depot Inc,Base,2,3
172,10,JNJ,0,0,0,0,0,-1,0.2804681132742132,165.49,-0.41,-0.25,6572247,#3485FF,Johnson & Johnson,Base,2,3
173,11,IONQ,0,0,0,0,0,-1,0.27782164245957497,18.57,-0.04,-0.21,3626935,#3485FF,IONQ Inc,Base,2,3
174,12,WMT,0,0,0,0,0,-1,0.2708149832688945,141.03,2.53,1.83,12858541,#E24A4A,Walmart Inc,Base,2,3
175,13,BAC,0,0,0,0,0,-1,0.2106459513004428,44.52,0.03,0.07,37700187,#E24A4A,Bank of America Corp,Base,2,3
176,14,PG,0,0,0,0,0,-1,0.20308750015515106,155.46,2.14,1.4,7172321,#E24A4A,Procter & Gamble Co,Base,2,3
177,15,MA,0,0,0,0,0,-1,0.1946789952938041,349.92,5.4,1.57,3405910,#E24A4A,Mastercard Inc,Base,2,3
178,16,ADBE,0,0,0,0,0,-1,0.1623140035864846,654.45,21.88,3.46,2872975,#E24A4A,Adobe Inc,Base,2,3
179,17,NFLX,0,0,0,0,0,-1,0.15136052367812072,611.66,0.66,0.11,2748774,#E24A4A,Netflix Inc,Base,2,3
180,18,PFE,0,0,0,0,0,-1,0.13355996878001092,52.78,0.7,1.34,26079361,#E24A4A,Pfizer Inc.,Base,2,3
181,19,NKE,0,0,0,0,0,-1,0.13312910423127106,169.06,0.96,0.57,4791125,#E24A4A,Nike Inc,Base,2,3
182,104,DIS,0,0,0,0,-1,-1,-1.0,152.71,-0.23,-0.15,10247891,#3485FF,Walt Disney Co,Base,2,3
183,115,BA,0,0,0,0,-1,-1,-1.0,205.06,-2.5,-1.2,6040048,#3485FF,Boeing Co,Base,2,3
184,117,MRNA,0,0,0,0,-1,-1,-1.0,257.06,-15.15,-5.57,17506624,#3485FF,Moderna Inc,Base,2,3
185,100,FB,0,0,0,0,-1,-1,-1.0,329.75,-0.07,-0.02,14527969,#3485FF,Meta Platforms Inc,Base,2,3
186,0,AAPL,0,0,0,0,0,-1,0.6931608875388249,179.45,4.89,2.8,115402731,#E24A4A,Apple Inc,Base,2,4
187,1,MSFT,0,0,0,0,0,-1,0.6513637497024177,342.54,9.44,2.83,38095694,#E24A4A,Microsoft Corporation,Base,2,4
188,2,GOOG,0,0,0,0,0,-1,0.6285700428462339,2973.5,11.38,0.38,1081923,#E24A4A,Alphabet Inc Class C,Base,2,4
189,3,AMZN,0,0,0,0,0,-1,0.5283641979904723,3444.24,-39.18,-1.12,3034488,#3485FF,"Amazon.com, Inc.",Base,2,4
190,4,LCID,0,0,0,0,0,-1,0.495928679155404,37.66,1.14,3.12,91795824,#E24A4A,Lucid Group Inc,Base,2,4
191,5,NVDA,0,0,0,0,0,-1,0.4270460891011311,301.98,-2.92,-0.96,48882509,#3485FF,NVIDIA Corporation,Base,2,4
192,6,XOM,0,0,0,0,0,-1,0.404133294818758,63.01,0.4,0.64,17942383,#E24A4A,Exxon Mobil Corp,Base,2,4
193,7,JPM,0,0,0,0,0,-1,0.3487980701968637,159.82,-0.64,-0.4,10405374,#3485FF,JPMorgan Chase & Co.,Base,2,4
